X,Y,Z,timestamp
-12.150001,11.85,-50.8875,838392423615579
-12.450001,10.650001,-51.3375,838392433615579
-12.056251,10.856251,-51.375004,838392443615579
-11.962501,10.8,-51.000004,838392453615579
-11.962501,10.837501,-51.000004,838392463615579
-12.168751,10.63125,-50.98125,838392473615579
-12.20625,10.837501,-51.187504,838392483615579
-12.20625,11.00625,-51.018753,838392493615579
-12.225,11.08125,-51.037502,838392503615579
-12.168751,11.45625,-50.943752,838392513615579
-12.281251,11.34375,-50.86875,838392523615579
-12.4125,11.325001,-50.98125,838392533615579
-12.450001,11.325001,-50.8875,838392543615579
-12.168751,11.7375,-51.16875,838392553615579
-12.1125,11.681251,-51.05625,838392563615579
-12.262501,11.56875,-51.075,838392573615579
-12.093751,11.400001,-51.093754,838392583615579
-12.056251,11.400001,-50.906254,838392593615579
-12.20625,11.56875,-50.925003,838392603615579
-12.356251,11.64375,-50.98125,838392613615579
-12.262501,11.55,-51.037502,838392623615579
-12.4875,11.34375,-50.737503,838392633615579
-12.69375,11.26875,-50.568752,838392643615579
-12.431251,11.175,-50.79375,838392653615579
-12.618751,11.212501,-50.756252,838392663615579
-12.562501,10.931251,-50.850002,838392673615579
-12.31875,10.8,-50.7,838392683615579
-12.0375,10.931251,-50.531254,838392693615579
-12.262501,11.212501,-50.437504,838392703615579
-12.262501,11.212501,-50.381252,838392713615579
-12.262501,11.118751,-50.475002,838392723615579
-12.31875,10.9125,-50.30625,838392733615579
-12.375001,10.78125,-50.2125,838392743615579
-12.39375,10.9875,-50.287502,838392753615579
-12.337501,11.08125,-50.325,838392763615579
-12.375001,11.25,-50.437504,838392773615579
-12.4125,11.08125,-50.362503,838392783615579
-12.243751,11.19375,-50.343754,838392793615579
-12.056251,11.2875,-50.062504,838392803615579
-12.150001,11.512501,-50.025,838392813615579
-12.20625,11.71875,-49.95,838392823615579
-12.4125,11.700001,-49.968754,838392833615579
-12.675,11.83125,-50.081253,838392843615579
-12.7875,11.6625,-50.1375,838392853615579
-12.637501,11.6625,-50.41875,838392863615579
-12.76875,11.53125,-50.60625,838392873615579
-12.993751,11.4375,-50.831253,838392883615579
-12.76875,11.400001,-50.831253,838392893615579
-12.69375,11.3625,-50.831253,838392903615579
-12.562501,11.306251,-50.831253,838392913615579
-12.4875,11.231251,-50.718754,838392923615579
-12.281251,11.025001,-50.568752,838392933615579
-12.262501,11.137501,-50.362503,838392943615579
-12.337501,11.25,-50.156254,838392953615579
-12.0,11.55,-50.1375,838392963615579
-12.225,11.306251,-50.23125,838392973615579
-12.3,10.96875,-50.41875,838392983615579
-12.13125,11.043751,-50.4,838392993615579
-12.13125,11.08125,-50.362503,838393003615579
-12.13125,11.3625,-50.456253,838393013615579
-12.0,11.418751,-50.5875,838393023615579
-11.775001,11.325001,-50.812504,838393033615579
-11.793751,11.15625,-51.075,838393043615579
-11.512501,11.34375,-51.300003,838393053615579
-11.34375,11.681251,-51.300003,838393063615579
-11.306251,11.493751,-51.24375,838393073615579
-11.1,11.38125,-51.2625,838393083615579
-11.34375,11.08125,-51.281254,838393093615579
-11.212501,10.9125,-51.300003,838393103615579
-11.34375,10.81875,-50.98125,838393113615579
-11.418751,10.8,-50.906254,838393123615579
-11.793751,10.89375,-50.5875,838393133615579
-11.7375,10.743751,-50.5875,838393143615579
-11.6625,10.856251,-50.531254,838393153615579
-11.7375,10.931251,-50.362503,838393163615579
-11.493751,11.1,-50.381252,838393173615579
-11.64375,11.1,-50.437504,838393183615579
-11.7375,11.1,-50.531254,838393193615579
-11.75625,10.9875,-50.193752,838393203615579
-11.83125,11.118751,-50.175003,838393213615579
-12.1125,11.26875,-50.04375,838393223615579
-12.468751,11.4375,-49.8375,838393233615579
-12.58125,11.26875,-50.193752,838393243615579
-12.76875,11.118751,-50.062504,838393253615579
-12.95625,11.0625,-49.912502,838393263615579
-12.843751,11.137501,-49.800003,838393273615579
-12.7875,11.231251,-49.968754,838393283615579
-12.675,10.96875,-49.987503,838393293615579
-12.450001,10.81875,-49.893753,838393303615579
-12.58125,10.63125,-50.025,838393313615579
-12.6,10.8,-49.818752,838393323615579
-12.656251,10.96875,-49.65,838393333615579
-12.750001,11.118751,-49.518753,838393343615579
-12.825001,11.1,-49.66875,838393353615579
-12.88125,10.856251,-49.95,838393363615579
-12.937501,11.25,-50.062504,838393373615579
-12.8625,11.418751,-50.04375,838393383615579
-12.7875,11.400001,-50.062504,838393393615579
-12.843751,11.306251,-49.875004,838393403615579
-12.750001,11.118751,-49.875004,838393413615579
-12.69375,11.0625,-49.968754,838393423615579
-13.012501,10.96875,-49.93125,838393433615579
-13.1625,11.418751,-49.443752,838393443615579
-12.95625,11.400001,-49.331253,838393453615579
-13.25625,11.1,-49.29375,838393463615579
-13.125001,11.231251,-49.068752,838393473615579
-13.1625,11.175,-49.331253,838393483615579
-13.1625,11.212501,-49.3875,838393493615579
-13.06875,11.175,-49.2,838393503615579
-12.562501,11.26875,-48.956253,838393513615579
-12.4875,10.9875,-49.050003,838393523615579
-12.76875,10.89375,-49.0875,838393533615579
-12.843751,11.00625,-49.218754,838393543615579
-13.031251,10.96875,-49.406254,838393553615579
-12.88125,11.043751,-49.10625,838393563615579
-12.825001,11.118751,-48.975002,838393573615579
-12.8625,11.137501,-49.143753,838393583615579
-12.918751,10.9125,-49.312504,838393593615579
-12.637501,11.0625,-49.275,838393603615579
-12.356251,11.15625,-49.2,838393613615579
-12.225,11.3625,-49.125004,838393623615579
-12.13125,11.175,-49.350002,838393633615579
-12.262501,11.26875,-49.725002,838393643615579
-12.31875,11.34375,-49.893753,838393653615579
-12.431251,11.325001,-49.875004,838393663615579
-12.6,11.64375,-49.95,838393673615579
-12.993751,11.512501,-49.875004,838393683615579
-13.425,11.3625,-49.818752,838393693615579
-13.425,11.325001,-49.95,838393703615579
-13.725,11.15625,-49.800003,838393713615579
-13.650001,10.950001,-49.725002,838393723615579
-13.81875,10.743751,-49.74375,838393733615579
-13.781251,10.725,-49.706253,838393743615579
-13.89375,10.556251,-49.687504,838393753615579
-13.89375,10.70625,-49.8375,838393763615579
-13.6125,10.8,-49.800003,838393773615579
-13.500001,10.762501,-49.687504,838393783615579
-13.293751,11.15625,-49.800003,838393793615579
-13.25625,11.19375,-49.725002,838393803615579
-13.200001,11.38125,-49.912502,838393813615579
-13.05,11.4375,-49.893753,838393823615579
-13.05,11.38125,-49.893753,838393833615579
-13.05,11.325001,-49.74375,838393843615579
-12.88125,11.212501,-49.7625,838393853615579
-12.731251,11.15625,-50.062504,838393863615579
-12.356251,11.212501,-49.968754,838393873615579
-12.39375,11.26875,-50.04375,838393883615579
-12.243751,11.1,-49.893753,838393893615579
-12.337501,11.53125,-50.025,838393903615579
-12.39375,11.868751,-50.193752,838393913615579
-12.093751,11.8125,-50.456253,838393923615579
-12.056251,11.775001,-50.643753,838393933615579
-12.187501,11.90625,-50.456253,838393943615579
-12.337501,11.94375,-50.68125,838393953615579
-12.13125,11.868751,-50.718754,838393963615579
-12.225,11.90625,-51.131252,838393973615579
-12.150001,11.55,-51.16875,838393983615579
-12.01875,11.4375,-51.112503,838393993615579
-12.150001,11.34375,-50.9625,838394003615579
-12.168751,11.3625,-50.98125,838394013615579
-12.281251,11.15625,-51.000004,838394023615579
-12.20625,11.137501,-50.98125,838394033615579
-12.31875,11.25,-50.5875,838394043615579
-12.168751,11.306251,-50.175003,838394053615579
-12.225,11.025001,-50.175003,838394063615579
-12.1125,10.9875,-50.1375,838394073615579
-11.90625,11.137501,-50.2125,838394083615579
-12.0,10.9875,-50.156254,838394093615579
-12.0,11.175,-49.987503,838394103615579
-12.13125,10.9875,-49.893753,838394113615579
-12.468751,11.08125,-50.2125,838394123615579
-12.450001,11.34375,-50.362503,838394133615579
-12.31875,11.700001,-50.250004,838394143615579
-12.168751,11.55,-50.23125,838394153615579
-12.731251,11.3625,-50.1375,838394163615579
-12.8625,11.606251,-50.062504,838394173615579
-12.712501,11.53125,-50.268753,838394183615579
-12.562501,11.418751,-50.250004,838394193615579
-12.20625,11.175,-50.362503,838394203615579
-12.262501,10.837501,-50.268753,838394213615579
-12.4125,10.650001,-50.437504,838394223615579
-12.731251,10.650001,-50.625004,838394233615579
-12.3,10.89375,-50.756252,838394243615579
-12.168751,10.743751,-50.8875,838394253615579
-12.093751,10.762501,-50.812504,838394263615579
-12.356251,10.89375,-50.906254,838394273615579
-12.58125,11.025001,-50.9625,838394283615579
-12.50625,11.325001,-50.943752,838394293615579
-12.3,11.212501,-51.112503,838394303615579
-12.0375,11.26875,-50.906254,838394313615579
-12.0375,11.08125,-50.775,838394323615579
-11.925,11.025001,-50.7,838394333615579
-11.94375,10.875,-51.000004,838394343615579
-11.7375,10.762501,-50.9625,838394353615579
-11.587501,10.78125,-50.79375,838394363615579
-11.775001,10.40625,-50.7,838394373615579
-11.962501,10.35,-50.475002,838394383615579
-11.962501,10.59375,-50.8875,838394393615579
-11.90625,10.425,-50.86875,838394403615579
-12.1125,10.725,-50.756252,838394413615579
-12.281251,10.6875,-50.41875,838394423615579
-12.337501,10.81875,-50.250004,838394433615579
-12.4875,10.51875,-50.268753,838394443615579
-12.225,10.556251,-50.343754,838394453615579
-12.150001,10.950001,-50.362503,838394463615579
-12.281251,10.837501,-50.2125,838394473615579
-12.525001,11.19375,-50.1375,838394483615579
-12.656251,11.231251,-50.23125,838394493615579
-12.50625,11.56875,-50.643753,838394503615579
-12.69375,11.475,-50.49375,838394513615579
-12.562501,11.71875,-50.456253,838394523615579
-12.918751,11.868751,-50.7,838394533615579
-12.95625,11.681251,-50.7,838394543615579
-13.087501,11.681251,-50.325,838394553615579
-13.06875,11.700001,-50.437504,838394563615579
-12.731251,11.55,-50.41875,838394573615579
-12.975,11.175,-50.04375,838394583615579
-12.731251,11.26875,-50.325,838394593615579
-12.656251,11.19375,-50.531254,838394603615579
-12.356251,11.231251,-50.287502,838394613615579
-12.39375,11.212501,-50.2125,838394623615579
-12.262501,11.15625,-50.343754,838394633615579
-12.0375,11.118751,-50.625004,838394643615579
-12.150001,11.08125,-50.643753,838394653615579
-12.187501,11.175,-50.68125,838394663615579
-12.243751,11.137501,-50.718754,838394673615579
-12.3,11.3625,-50.568752,838394683615579
-12.4125,11.2875,-50.68125,838394693615579
-12.31875,11.19375,-50.737503,838394703615579
-12.375001,11.175,-50.850002,838394713615579
-12.375001,11.08125,-50.756252,838394723615579
-12.562501,11.043751,-50.662502,838394733615579
-12.450001,11.0625,-50.550003,838394743615579
-12.4875,11.0625,-50.60625,838394753615579
-12.39375,11.0625,-50.662502,838394763615579
-12.39375,11.19375,-50.7,838394773615579
-12.168751,11.400001,-50.812504,838394783615579
-12.168751,11.400001,-50.718754,838394793615579
-12.225,11.3625,-50.831253,838394803615579
-12.13125,11.26875,-51.05625,838394813615579
-11.962501,11.34375,-51.225002,838394823615579
-12.056251,11.2875,-51.075,838394833615579
-12.187501,11.00625,-51.018753,838394843615579
-12.20625,10.9875,-51.000004,838394853615579
-12.450001,10.8,-50.531254,838394863615579
-12.431251,10.875,-50.756252,838394873615579
