X,Y,Z,timestamp
-6.99375,14.587501,-50.156254,782614894656922
-6.8437505,14.587501,-50.68125,782614904656922
-6.9375005,14.887501,-51.05625,782614914656922
-6.6937504,14.887501,-50.943752,782614924656922
-6.7125,14.793751,-50.756252,782614934656922
-6.95625,14.75625,-50.906254,782614944656922
-7.0687504,14.7375,-51.018753,782614954656922
-7.3500004,14.718751,-51.000004,782614964656922
-7.4437504,14.75625,-51.131252,782614974656922
-7.4625,14.587501,-51.2625,782614984656922
-7.425,14.306251,-51.318752,782614994656922
-7.4625,14.306251,-51.318752,782615004656922
-7.6312504,14.45625,-51.43125,782615014656922
-7.4625,14.56875,-51.318752,782615024656922
-7.4437504,14.55,-51.206253,782615034656922
-7.0687504,14.7375,-51.24375,782615044656922
-7.0875,14.775001,-51.318752,782615054656922
-7.1625004,14.981251,-51.3375,782615064656922
-7.2000003,15.13125,-51.15,782615074656922
-7.4625,15.1125,-51.2625,782615084656922
-7.2937503,15.000001,-51.468754,782615094656922
-7.33125,14.718751,-51.562504,782615104656922
-7.2375,14.75625,-51.600002,782615114656922
-7.18125,14.55,-51.487503,782615124656922
-7.1250005,14.512501,-51.468754,782615134656922
-6.95625,14.45625,-51.393753,782615144656922
-7.1250005,14.6625,-51.45,782615154656922
-6.9750004,14.6625,-51.487503,782615164656922
-6.80625,14.681251,-51.375004,782615174656922
-6.9,14.962501,-51.468754,782615184656922
-6.9187503,15.13125,-51.6375,782615194656922
-6.8437505,15.243751,-51.750004,782615204656922
-6.7500005,15.150001,-51.750004,782615214656922
-6.7875004,15.281251,-51.843754,782615224656922
-6.3750005,15.13125,-51.99375,782615234656922
-6.3750005,15.0375,-51.9,782615244656922
-6.7125,15.0375,-51.9,782615254656922
-6.61875,14.812501,-51.937504,782615264656922
-6.61875,14.475,-51.843754,782615274656922
-6.7500005,14.512501,-51.768753,782615284656922
-6.7125,14.83125,-51.937504,782615294656922
-6.80625,14.887501,-51.80625,782615304656922
-7.0875,14.75625,-51.750004,782615314656922
-7.14375,14.812501,-52.031254,782615324656922
-6.9187503,14.700001,-51.956253,782615334656922
-6.8250003,14.887501,-51.825,782615344656922
-6.5437503,14.981251,-51.91875,782615354656922
-6.61875,14.83125,-52.068752,782615364656922
-6.675,14.55,-51.91875,782615374656922
-6.9375005,14.418751,-51.881252,782615384656922
-6.8437505,14.512501,-52.068752,782615394656922
-6.76875,14.56875,-51.99375,782615404656922
-6.8625,14.85,-51.9,782615414656922
-7.0312505,14.868751,-52.050003,782615424656922
-7.4625,14.868751,-52.050003,782615434656922
-7.3875003,14.925,-51.975002,782615444656922
-7.1625004,15.1125,-51.937504,782615454656922
-6.8437505,14.981251,-51.9,782615464656922
-6.9375005,14.887501,-51.675003,782615474656922
-6.9375005,14.981251,-51.35625,782615484656922
-7.0875,14.6625,-51.693752,782615494656922
-6.76875,14.512501,-51.881252,782615504656922
-6.7125,14.475,-51.693752,782615514656922
-6.7875004,14.45625,-51.956253,782615524656922
-7.14375,14.55,-52.0875,782615534656922
-7.33125,14.3625,-52.18125,782615544656922
-7.4625,14.400001,-52.275,782615554656922
-7.3875003,14.343751,-52.29375,782615564656922
-7.18125,14.45625,-52.162502,782615574656922
-7.36875,14.606251,-51.937504,782615584656922
-7.4437504,14.775001,-52.0125,782615594656922
-7.6312504,14.681251,-51.73125,782615604656922
-7.5937505,14.437501,-51.6375,782615614656922
-7.4437504,14.812501,-51.91875,782615624656922
-7.275,14.887501,-51.843754,782615634656922
-7.4625,15.1125,-52.031254,782615644656922
-7.4812503,15.093751,-52.0125,782615654656922
-7.4437504,15.01875,-51.9,782615664656922
-7.36875,15.168751,-51.862503,782615674656922
-7.3500004,15.337501,-51.937504,782615684656922
-7.2562504,15.4875,-52.031254,782615694656922
-7.2375,15.31875,-51.675003,782615704656922
-7.275,15.243751,-51.525,782615714656922
-7.1250005,15.13125,-51.506252,782615724656922
-7.0687504,15.356251,-51.562504,782615734656922
-7.0687504,15.50625,-51.787502,782615744656922
-6.9,15.450001,-52.050003,782615754656922
-6.95625,15.468751,-52.125004,782615764656922
-7.05,15.4125,-51.656254,782615774656922
-7.1250005,15.4875,-51.768753,782615784656922
-7.0875,15.431251,-51.881252,782615794656922
-7.1062503,15.225,-51.862503,782615804656922
-7.2562504,15.13125,-51.7125,782615814656922
-7.4437504,14.75625,-51.393753,782615824656922
-7.5000005,14.418751,-51.206253,782615834656922
-7.2000003,14.400001,-51.318752,782615844656922
-7.1062503,14.3625,-51.656254,782615854656922
-6.8625,14.400001,-51.487503,782615864656922
-6.6562505,14.418751,-51.600002,782615874656922
-6.7875004,14.325001,-51.693752,782615884656922
-6.6937504,14.19375,-51.843754,782615894656922
-6.4875,14.493751,-51.825,782615904656922
-6.3750005,14.887501,-51.843754,782615914656922
-6.58125,15.056251,-51.581253,782615924656922
-6.675,14.962501,-51.3375,782615934656922
-6.7312503,15.1125,-51.412502,782615944656922
-7.0687504,15.4875,-51.412502,782615954656922
-6.95625,15.918751,-51.3375,782615964656922
-7.0312505,15.7875,-51.075,782615974656922
-7.0875,15.69375,-51.206253,782615984656922
-7.14375,15.543751,-51.15,782615994656922
-7.14375,15.3,-51.018753,782616004656922
-7.2187505,15.31875,-51.281254,782616014656922
-7.2187505,14.981251,-51.15,782616024656922
-6.99375,14.718751,-50.98125,782616034656922
-6.8812504,14.418751,-50.775,782616044656922
-6.9750004,14.512501,-50.831253,782616054656922
-6.9750004,14.45625,-50.60625,782616064656922
-7.1062503,14.38125,-50.49375,782616074656922
-6.99375,14.212501,-50.60625,782616084656922
-6.80625,14.250001,-50.381252,782616094656922
-6.8437505,14.437501,-50.5125,782616104656922
-6.99375,14.531251,-50.475002,782616114656922
-7.3500004,14.512501,-50.5875,782616124656922
-7.4437504,14.56875,-50.625004,782616134656922
-7.74375,14.7375,-50.775,782616144656922
-7.7812505,14.83125,-50.68125,782616154656922
-7.93125,14.887501,-50.775,782616164656922
-8.08125,14.7375,-50.737503,782616174656922
-8.3625,14.64375,-50.41875,782616184656922
-8.212501,14.83125,-50.268753,782616194656922
-8.231251,14.718751,-50.193752,782616204656922
-8.25,14.887501,-49.987503,782616214656922
-8.08125,14.812501,-49.93125,782616224656922
-8.231251,14.906251,-49.93125,782616234656922
-8.08125,14.906251,-50.062504,782616244656922
-8.137501,15.0375,-49.968754,782616254656922
-8.118751,15.01875,-50.268753,782616264656922
-8.175,14.512501,-50.175003,782616274656922
-8.00625,14.85,-50.062504,782616284656922
-7.9125004,14.6625,-50.193752,782616294656922
-7.9125004,14.475,-50.268753,782616304656922
-7.6312504,14.418751,-50.175003,782616314656922
-7.74375,14.400001,-49.93125,782616324656922
-7.6312504,14.2875,-50.156254,782616334656922
-7.6125,14.118751,-50.04375,782616344656922
-7.74375,14.343751,-50.23125,782616354656922
-7.9125004,14.137501,-50.156254,782616364656922
-7.9875,14.062501,-50.193752,782616374656922
-7.9687505,14.19375,-50.081253,782616384656922
-8.15625,13.875001,-50.437504,782616394656922
-8.00625,14.025001,-50.550003,782616404656922
-7.8187504,14.118751,-50.68125,782616414656922
-7.5750003,14.3625,-50.86875,782616424656922
-7.4812503,14.26875,-50.775,782616434656922
-7.1250005,14.38125,-51.225002,782616444656922
-6.9750004,14.418751,-51.16875,782616454656922
-6.9187503,14.45625,-51.2625,782616464656922
-6.7875004,14.56875,-51.05625,782616474656922
-6.7125,14.606251,-50.79375,782616484656922
-6.8250003,14.306251,-50.718754,782616494656922
-6.9,14.00625,-50.643753,782616504656922
-7.0875,13.968751,-50.737503,782616514656922
-7.36875,13.875001,-50.5875,782616524656922
-7.3875003,14.231251,-50.568752,782616534656922
