X,Y,Z,timestamp
-11.700001,11.85,-49.8375,873820026126855
-11.625,12.150001,-49.912502,873820036126855
-12.056251,12.3,-50.081253,873820046126855
-12.075001,12.262501,-50.362503,873820056126855
-12.20625,12.150001,-50.437504,873820066126855
-12.168751,12.075001,-50.23125,873820076126855
-12.056251,11.868751,-50.175003,873820086126855
-11.868751,12.262501,-50.287502,873820096126855
-11.90625,12.187501,-50.2125,873820106126855
-12.01875,12.39375,-50.268753,873820116126855
-11.962501,12.58125,-50.268753,873820126126855
-12.056251,12.543751,-50.04375,873820136126855
-11.981251,12.69375,-49.74375,873820146126855
-11.90625,12.843751,-49.7625,873820156126855
-11.83125,12.975,-49.687504,873820166126855
-12.056251,12.6,-49.687504,873820176126855
-12.1125,12.525001,-49.893753,873820186126855
-11.90625,12.356251,-49.74375,873820196126855
-11.868751,12.1125,-49.706253,873820206126855
-11.681251,12.056251,-49.8375,873820216126855
-11.53125,11.925,-50.100002,873820226126855
-11.6625,11.887501,-50.156254,873820236126855
-11.962501,11.75625,-50.081253,873820246126855
-11.868751,11.6625,-50.081253,873820256126855
-11.868751,11.71875,-50.025,873820266126855
-12.056251,11.681251,-49.968754,873820276126855
-12.187501,11.587501,-49.93125,873820286126855
-12.39375,11.625,-49.725002,873820296126855
-12.20625,11.625,-49.687504,873820306126855
-12.0,11.700001,-49.65,873820316126855
-11.8125,11.793751,-50.025,873820326126855
-11.90625,11.6625,-50.025,873820336126855
-11.887501,11.83125,-50.100002,873820346126855
-11.887501,11.681251,-50.100002,873820356126855
-11.90625,11.75625,-49.968754,873820366126855
-11.887501,11.868751,-50.1375,873820376126855
-12.262501,11.962501,-50.175003,873820386126855
-12.431251,11.793751,-50.11875,873820396126855
-12.431251,11.981251,-50.025,873820406126855
-12.4125,12.281251,-50.04375,873820416126855
-12.4875,12.3,-49.93125,873820426126855
-12.375001,12.225,-50.193752,873820436126855
-12.525001,12.375001,-50.437504,873820446126855
-12.375001,12.281251,-50.4,873820456126855
-12.243751,12.0375,-50.1375,873820466126855
-12.356251,12.1125,-50.250004,873820476126855
-12.450001,11.981251,-50.250004,873820486126855
-12.4875,11.887501,-50.2125,873820496126855
-12.225,11.775001,-50.193752,873820506126855
-12.337501,12.13125,-50.11875,873820516126855
-12.0375,11.90625,-49.85625,873820526126855
-12.13125,11.94375,-49.85625,873820536126855
-12.168751,11.94375,-49.987503,873820546126855
-12.13125,11.887501,-49.93125,873820556126855
-12.281251,12.01875,-49.875004,873820566126855
-12.450001,12.187501,-49.66875,873820576126855
-12.712501,12.150001,-49.725002,873820586126855
-12.6,12.225,-49.612503,873820596126855
-12.731251,12.468751,-49.8375,873820606126855
-12.6,12.562501,-49.781254,873820616126855
-12.450001,12.6,-49.987503,873820626126855
-12.675,12.656251,-50.081253,873820636126855
-12.6,12.6,-50.250004,873820646126855
-12.50625,12.543751,-50.381252,873820656126855
-12.4875,12.712501,-50.325,873820666126855
-12.76875,12.431251,-50.325,873820676126855
-12.731251,12.431251,-50.156254,873820686126855
-12.825001,12.431251,-50.381252,873820696126855
-12.975,12.543751,-50.4,873820706126855
-12.618751,12.468751,-50.381252,873820716126855
-12.431251,12.281251,-50.100002,873820726126855
-12.356251,12.20625,-49.987503,873820736126855
-12.225,11.94375,-50.100002,873820746126855
-12.0375,12.0375,-50.287502,873820756126855
-11.887501,11.981251,-50.550003,873820766126855
-11.8125,11.962501,-50.531254,873820776126855
-11.90625,11.962501,-50.268753,873820786126855
-11.887501,11.981251,-50.193752,873820796126855
-11.8125,12.0375,-50.175003,873820806126855
-11.85,12.01875,-50.343754,873820816126855
-11.94375,12.262501,-50.2125,873820826126855
-11.981251,12.262501,-49.93125,873820836126855
-12.1125,12.1125,-49.968754,873820846126855
-12.13125,12.093751,-49.85625,873820856126855
-12.0375,11.94375,-49.800003,873820866126855
-12.056251,11.775001,-49.687504,873820876126855
-12.225,11.8125,-49.85625,873820886126855
-12.093751,11.925,-49.912502,873820896126855
-12.0375,11.85,-49.93125,873820906126855
-12.0,11.6625,-50.2125,873820916126855
-12.075001,11.606251,-50.025,873820926126855
-12.168751,11.45625,-49.893753,873820936126855
-12.168751,11.83125,-50.04375,873820946126855
-12.3,12.093751,-50.062504,873820956126855
-12.225,11.925,-50.081253,873820966126855
-12.375001,11.793751,-49.85625,873820976126855
-12.281251,11.94375,-49.85625,873820986126855
-12.4125,12.13125,-49.85625,873820996126855
-12.39375,12.056251,-49.8375,873821006126855
-12.450001,11.962501,-49.968754,873821016126855
-12.39375,11.90625,-49.987503,873821026126855
-12.468751,11.775001,-49.987503,873821036126855
-12.618751,12.056251,-49.7625,873821046126855
-12.468751,12.150001,-49.725002,873821056126855
-12.618751,11.887501,-49.706253,873821066126855
-12.6,11.90625,-49.593754,873821076126855
-12.468751,11.962501,-49.312504,873821086126855
